PERSON_ID,ES_JEFE,JEFE_OCUPACION,VIVIENDA_TENENCIA,VIVIENDA_TIPO,NRO_PROPIEDADES,INGRESOS,EGRESOS,NRO_VEHICULOS,AVALUO_VEHICULOS,NUMINTEGRANTES,NUMESTUDIANTRES,CLASE
102220126,FALSE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(309.5-inf),(799.5-inf),0,0,5,2,clase1
102288016,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],1,1362,[0-2],0,clase1
102308848,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(82.5-169.5],(451-799.5],0,0,5,1,clase2
102313889,TRUE,EMPLEADO,PROPIA SIN HIPOTECA,CUARTO,0,(82.5-169.5],(301-451],0,0,4,1,clase2
102315579,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,VILLA,0,(-inf-0.5],(451-799.5],1,10000,3,0,clase3
102351830,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,4,2,clase1
102372265,TRUE,EMPLEADO,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(301-451],0,0,[0-2],0,clase1
102387388,TRUE,SERVICIO,ARRENDADA,CUARTO,0,(0.5-82.5],(-inf-301],0,0,4,[3-9],clase1
102425592,TRUE,PROFESIONALES,ARRENDADA,VILLA,0,(169.5-309.5],(451-799.5],0,0,4,0,clase1
102441169,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
102485539,TRUE,EMPLEADO,PROPIA SIN HIPOTECA,CASA,0,(82.5-169.5],(451-799.5],0,0,3,1,clase2
102492972,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
102493947,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CUARTO,0,(-inf-0.5],(-inf-301],0,0,4,0,clase1
102537610,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(0.5-82.5],(451-799.5],[2-4],16000,3,1,clase3
102540424,TRUE,OCCUPACIONES ELEMENTALES,PROPIA CON HIPOTECA,VILLA,0,(309.5-inf),(451-799.5],0,0,5,0,clase1
102570538,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,MEDIA AGUA,0,(0.5-82.5],(301-451],0,0,4,2,clase2
102581121,TRUE,EMPLEADO,ARRENDADA,DEPARTAMENTO,0,(309.5-inf),(799.5-inf),0,0,[6-15],[3-9],clase1
102629730,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(0.5-82.5],(-inf-301],0,0,3,0,clase2
102702198,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(-inf-0.5],(-inf-301],1,3500,[0-2],1,clase1
102710720,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,VILLA,0,(0.5-82.5],(301-451],1,1000,5,0,clase2
102731700,TRUE,EMPLEADO,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),0,0,4,2,clase2
102815842,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
102825981,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CUARTO,0,(0.5-82.5],(-inf-301],0,0,3,1,clase1
102837689,TRUE,OCCUPACIONES ELEMENTALES,PROPIA CON HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),[2-4],5000,3,1,clase4
102862612,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
102872645,TRUE,EMPLEADO,CEDIDA,CASA,0,(0.5-82.5],(301-451],0,0,[0-2],0,clase2
102904505,FALSE,EMPLEADO,ARRENDADA,VILLA,0,(169.5-309.5],(301-451],0,0,4,2,clase2
102913266,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,0,(169.5-309.5],(301-451],0,0,3,0,clase2
102923612,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(82.5-169.5],(-inf-301],0,0,5,0,clase2
102938123,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,VILLA,0,(0.5-82.5],(301-451],0,0,4,2,clase2
102940673,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(301-451],0,0,4,1,clase2
102969144,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
102971785,TRUE,OCCUPACIONES ELEMENTALES,PROPIA CON HIPOTECA,VILLA,0,(309.5-inf),(799.5-inf),1,8000,4,1,clase4
103029682,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,0,(82.5-169.5],(-inf-301],0,0,5,2,clase1
103040820,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103077293,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(-inf-0.5],(-inf-301],0,0,4,1,clase1
103092185,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,VILLA,0,(82.5-169.5],(-inf-301],0,0,3,2,clase1
103129714,FALSE,SERVICIO,PROPIA SIN HIPOTECA,CASA,0,(0.5-82.5],(301-451],0,0,3,0,clase2
103135299,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(-inf-301],0,0,3,0,clase1
103162038,FALSE,SERVICIO,ARRENDADA,MEDIA AGUA,0,(169.5-309.5],(451-799.5],0,0,4,0,clase2
103164851,FALSE,PROFESIONALES,CEDIDA,CASA,[2-8],(82.5-169.5],(799.5-inf),[2-4],4508,5,[3-9],clase4
103171054,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103180410,FALSE,OCCUPACIONES ELEMENTALES,PROPIA CON HIPOTECA,VILLA,0,(309.5-inf),(799.5-inf),0,0,5,0,clase2
103181459,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,VILLA,0,(0.5-82.5],(-inf-301],0,0,[0-2],0,clase1
103209300,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,0,(309.5-inf),(799.5-inf),1,10000,4,[3-9],clase4
103214862,FALSE,EMPLEADO,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),1,1500,4,2,clase4
103237533,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,0,(82.5-169.5],(-inf-301],0,0,[0-2],0,clase1
103238127,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103249256,FALSE,EMPLEADO,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103275590,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(169.5-309.5],(301-451],0,0,[0-2],0,clase1
103417184,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,VILLA,[2-8],(169.5-309.5],(301-451],0,0,3,0,clase2
103441044,TRUE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,0,(82.5-169.5],(451-799.5],1,1500,[0-2],0,clase3
103448718,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(301-451],0,0,4,0,clase2
103449161,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CUARTO,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103461372,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(169.5-309.5],(-inf-301],1,1800,3,2,clase1
103474136,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(0.5-82.5],(301-451],1,3500,4,0,clase2
103478707,FALSE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(169.5-309.5],(-inf-301],0,0,[0-2],0,clase2
103500823,FALSE,SERVICIO,PROPIA SIN HIPOTECA,MEDIA AGUA,0,(0.5-82.5],(301-451],1,2500,[6-15],2,clase3
103510749,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,0,(169.5-309.5],(301-451],0,0,5,[3-9],clase2
103524211,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(0.5-82.5],(451-799.5],1,20000,[0-2],0,clase3
103527990,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,MEDIA AGUA,[2-8],(0.5-82.5],(-inf-301],0,0,3,0,clase2
103529731,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(451-799.5],0,0,4,0,clase1
103553988,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(-inf-301],0,0,3,0,clase1
103560637,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(169.5-309.5],(301-451],0,0,4,0,clase2
103563268,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(169.5-309.5],(451-799.5],0,0,3,1,clase1
103585618,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,[2-8],(169.5-309.5],(451-799.5],0,0,5,2,clase1
103591376,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,MEDIA AGUA,0,(-inf-0.5],(301-451],0,0,[6-15],1,clase2
103591517,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(169.5-309.5],(-inf-301],0,0,[0-2],1,clase1
103597506,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103607420,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(169.5-309.5],(451-799.5],1,3000,[6-15],1,clase3
103610358,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(0.5-82.5],(451-799.5],0,0,[0-2],0,clase2
103610853,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CUARTO,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103633723,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),[2-4],15000,[6-15],2,clase4
103652863,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(0.5-82.5],(301-451],[2-4],15000,4,2,clase2
103655338,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CUARTO,0,(82.5-169.5],(301-451],0,0,3,1,clase1
103661849,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(82.5-169.5],(-inf-301],0,0,5,2,clase1
103666269,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103677894,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(82.5-169.5],(-inf-301],0,0,[0-2],0,clase1
103682274,FALSE,EMPLEADO,PROPIA CON HIPOTECA,CASA,0,(309.5-inf),(451-799.5],0,0,3,0,clase2
103689790,FALSE,SERVICIO,PROPIA SIN HIPOTECA,CASA,0,(0.5-82.5],(301-451],0,0,5,0,clase2
103698098,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,MEDIA AGUA,[2-8],(0.5-82.5],(-inf-301],0,0,3,0,clase2
103714879,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,0,(309.5-inf),(799.5-inf),1,20000,[0-2],0,clase1
103725081,FALSE,EMPLEADO,PROPIA SIN HIPOTECA,CASA,[2-8],(309.5-inf),(799.5-inf),1,20000,5,1,clase4
103725149,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(301-451],0,0,4,1,clase2
103727699,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(82.5-169.5],(301-451],0,0,[0-2],0,clase1
103729323,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(169.5-309.5],(-inf-301],0,0,3,1,clase1
103738142,FALSE,SERVICIO,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(0.5-82.5],(301-451],0,0,5,0,clase2
103742078,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,3,2,clase1
103742102,FALSE,PROFESIONALES,ARRENDADA,CUARTO,0,(169.5-309.5],(799.5-inf),0,0,4,2,clase2
103743894,FALSE,SERVICIO,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(301-451],0,0,5,0,clase2
103751905,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CUARTO,0,(0.5-82.5],(-inf-301],0,0,3,1,clase1
103755534,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,VILLA,[2-8],(82.5-169.5],(451-799.5],0,0,3,0,clase2
103756581,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,[2-8],(309.5-inf),(799.5-inf),1,13000,5,0,clase4
103761136,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(451-799.5],1,2000,3,0,clase3
103765236,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CUARTO,0,(82.5-169.5],(-inf-301],0,0,[0-2],0,clase1
103767984,TRUE,SERVICIO,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(301-451],0,0,[6-15],0,clase2
103772695,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),[2-4],80000,4,0,clase4
103776985,FALSE,PROFESIONALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103781738,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(169.5-309.5],(301-451],0,0,4,1,clase2
103783171,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(82.5-169.5],(-inf-301],0,0,3,2,clase1
103790606,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,VILLA,[2-8],(0.5-82.5],(451-799.5],1,15000,4,0,clase4
103792289,FALSE,SERVICIO,PROPIA SIN HIPOTECA,CASA,[2-8],(-inf-0.5],(-inf-301],0,0,5,[3-9],clase3
103799326,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(451-799.5],0,0,[0-2],0,clase1
103802906,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103806824,FALSE,SERVICIO,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103809448,FALSE,PROFESIONALES,ARRENDADA,DEPARTAMENTO,0,(82.5-169.5],(-inf-301],0,0,[0-2],0,clase1
103809844,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103810834,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103813291,FALSE,TECNICOS,ARRENDADA,MEDIA AGUA,0,(169.5-309.5],(301-451],0,0,5,1,clase2
103813507,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(-inf-0.5],(-inf-301],0,0,3,0,clase1
103817896,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CUARTO,0,(169.5-309.5],(-inf-301],0,0,4,0,clase1
103818381,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103818399,FALSE,TECNICOS,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(799.5-inf),1,1500,[6-15],2,clase3
103829008,FALSE,EMPLEADO,PROPIA SIN HIPOTECA,CASA,[2-8],(82.5-169.5],(451-799.5],1,3000,5,2,clase3
103830162,FALSE,PROFESIONALES,ARRENDADA,DEPARTAMENTO,0,(309.5-inf),(799.5-inf),1,1600,3,0,clase4
103834271,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103835062,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(-inf-301],1,2500,[0-2],0,clase1
103839981,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(-inf-301],0,0,[6-15],1,clase1
103842100,FALSE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(-inf-0.5],(301-451],0,0,3,0,clase2
103845475,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(0.5-82.5],(301-451],1,12000,[6-15],0,clase2
103845657,FALSE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(-inf-0.5],(799.5-inf),1,9000,3,0,clase4
103848081,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(82.5-169.5],(799.5-inf),1,8000,5,0,clase4
103854618,FALSE,EMPLEADO,ARRENDADA,DEPARTAMENTO,0,(309.5-inf),(799.5-inf),0,0,4,1,clase2
103855490,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(-inf-0.5],(301-451],1,1313,3,1,clase2
103857421,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(0.5-82.5],(301-451],0,0,[0-2],0,clase2
103859336,FALSE,OCCUPACIONES ELEMENTALES,PROPIA CON HIPOTECA,CASA,[2-8],(309.5-inf),(799.5-inf),0,0,3,2,clase4
103860680,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(309.5-inf),(451-799.5],1,4000,5,0,clase3
103863478,FALSE,SERVICIO,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(301-451],0,0,5,1,clase2
103864476,FALSE,EMPLEADO,PROPIA SIN HIPOTECA,DEPARTAMENTO,0,(0.5-82.5],(301-451],0,0,4,1,clase2
103865523,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,0,(82.5-169.5],(-inf-301],1,5000,[0-2],0,clase1
103869863,FALSE,PROFESIONALES,PROPIA CON HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),1,1500,4,1,clase4
103880795,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,[2-8],(309.5-inf),(799.5-inf),[2-4],18000,5,0,clase4
103889143,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(-inf-0.5],(301-451],0,0,3,0,clase2
103889697,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103891826,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(169.5-309.5],(799.5-inf),0,0,3,[3-9],clase1
103892022,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,DEPARTAMENTO,[2-8],(82.5-169.5],(301-451],1,3000,[0-2],0,clase1
103893681,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CUARTO,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103893921,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103894457,FALSE,EMPLEADO,PROPIA SIN HIPOTECA,CASA,[2-8],(309.5-inf),(799.5-inf),1,5000,5,0,clase4
103895199,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,0,(169.5-309.5],(451-799.5],0,0,5,2,clase3
103901856,FALSE,PROFESIONALES,PROPIA CON HIPOTECA,VILLA,[2-8],(309.5-inf),(799.5-inf),1,12000,3,1,clase4
103902375,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(82.5-169.5],(301-451],0,0,[0-2],0,clase2
103904033,TRUE,OCCUPACIONES ELEMENTALES,CEDIDA,CASA,0,(82.5-169.5],(301-451],0,0,3,1,clase2
103907408,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),0,0,4,2,clase4
103907721,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CUARTO,0,(0.5-82.5],(-inf-301],0,0,[0-2],0,clase1
103915336,FALSE,PROFESIONALES,PROPIA CON HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),1,1000,5,1,clase4
103915492,FALSE,SERVICIO,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103916516,FALSE,PROFESIONALES,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),[2-4],30000,5,[3-9],clase4
103921540,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103922118,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,[2-8],(82.5-169.5],(451-799.5],0,0,3,0,clase2
103923900,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103930814,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,CUARTO,0,(82.5-169.5],(301-451],0,0,[0-2],0,clase1
103932257,FALSE,OCCUPACIONES ELEMENTALES,ARRENDADA,CASA,0,(169.5-309.5],(451-799.5],0,0,[6-15],1,clase2
103937157,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(82.5-169.5],(-inf-301],0,0,4,1,clase2
103938940,FALSE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(451-799.5],0,0,3,0,clase2
103940482,FALSE,PROFESIONALES,PROPIA CON HIPOTECA,CASA,[2-8],(309.5-inf),(799.5-inf),1,8000,4,1,clase4
103940912,FALSE,EMPLEADO,ARRENDADA,CASA,0,(309.5-inf),(451-799.5],0,0,[6-15],2,clase2
103941357,FALSE,PROFESIONALES,ARRENDADA,CASA,0,(309.5-inf),(799.5-inf),0,0,4,0,clase4
103941845,TRUE,EMPLEADO,ARRENDADA,MEDIA AGUA,0,(82.5-169.5],(-inf-301],0,0,3,1,clase1
103943973,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,MEDIA AGUA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
103947065,FALSE,SERVICIO,PROPIA SIN HIPOTECA,CASA,0,(309.5-inf),(799.5-inf),[2-4],30000,4,0,clase4
103948469,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(0.5-82.5],(-inf-301],0,0,3,0,clase2
103954947,TRUE,OCCUPACIONES ELEMENTALES,ARRENDADA,DEPARTAMENTO,0,(82.5-169.5],(-inf-301],0,0,4,1,clase1
103956116,TRUE,OCCUPACIONES ELEMENTALES,PROPIA SIN HIPOTECA,CASA,0,(-inf-0.5],(-inf-301],0,0,[0-2],0,clase1
